;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ТОЛЧОК - ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;0650411811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;0650421811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 73+ КГ;0650431811Ю;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;0650441811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0650451811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;0650461811Ю;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;0650471811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;0650481811А;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0650171811А;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 68+ КГ;0650341811А;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;0650201811Я;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;0650221811Б;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;0650351811А;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;0650361811Ю;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 58 КГ;0650261811С;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 63+ КГ;0650241811А;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0650371811Я;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 68+ КГ;0650381811Д;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0650211811Я;;;;;;;;;;;;;
;;;ТОЛЧОК ДЦ - ЭСТАФЕТА;0650281811Я;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0650121811Н;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 53 КГ;0650301811Н;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 58+ КГ;0650251811Н;;;;;;;;;;;;;
;;;РЫВОК - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;0650271811Я;;;;;;;;;;;;;
;;;ЖОНГЛИРОВАНИЕ;0650291811Д;;;;;;;;;;;;;
;;;ЖОНГЛИРОВАНИЕ - ПАРА;0650311811Я;;;;;;;;;;;;;
17;ВСЕСТИЛЕВОЕ КАРАТЭ;0900001411Я;ОК - ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;0900031811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0900041811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 47 КГ;0900051811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0900071811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0900081811С;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0900091811Д;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 58 КГ;0900101811С;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0900111811Я;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;0900121811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;0900131811С;;;;;;;;;;;;;
;;;ОК - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0900271811Я;;;;;;;;;;;;;
;;;ОК - КАТА - ГОДЗЮ-РЮ;0900281811Я;;;;;;;;;;;;;
;;;ОК - КАТА - ВАДО-РЮ;0900291811Я;;;;;;;;;;;;;
;;;ОК - КАТА - РЕНГОКАЙ;0900301811Я;;;;;;;;;;;;;
;;;ОК - КАТА - ГРУППА;0900311811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0900441811Ф;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0900451811А;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0900461811А;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0900471811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0900061811Н;;;;;;;;;;;;;
;;;СЗ - КАТА - ГРУППА - ПРИЕМЫ НОГАМИ;0900741811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - САМООБОРОНА (2 ЧЕЛОВЕКА);0900751811Б;;;;;;;;;;;;;
;;;СЗ - КАТА - САМООБОРОНА (4 ЧЕЛОВЕКА);0900761811Б;;;;;;;;;;;;;
;;;ОК - КАТА - БУНКАЙ;0900321811Я;;;;;;;;;;;;;
;;;ОК - ДВОЕБОРЬЕ;0900331811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;0900341811Н;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0900351811Н;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0900361811Н;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0900371811Н;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0900381811С;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0900391811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0900401811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0900411811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0900421811Ф;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;0900431811Б;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;0900011811Ю;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0900021811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0900141811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 67 КГ;0900151811Н;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0900161811Я;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0900171811Я;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;0900181811Б;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;0900191811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0900201811Ф;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;0900211811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0900221811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 83 КГ;0900231811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0900241811А;;;;;;;;;;;;;
;;;ОК - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0900251811А;;;;;;;;;;;;;
;;;ОК - АБСОЛЮТНАЯ КАТЕГОРИЯ;0900261811Я;;;;;;;;;;;;;
;;;ПК - ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;0900481811Ю;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;0900491811Д;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 39 КГ;0900501811Н;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;0900511811Н;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0900521811Н;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0900531811С;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 51 КГ;0900541811С;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 54 КГ;0900551811С;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0900561811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0900571811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 64 КГ;0900581811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0900591811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 72 КГ;0900601811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 76 КГ;0900611811Я;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 76+ КГ;0900621811Б;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0900631811Ф;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0900641811Ф;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0900651811А;;;;;;;;;;;;;
;;;СЗ - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0900661811А;;;;;;;;;;;;;
;;;СЗ - КАТА - СОЛО;0900671811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - СОЛО С ПРЕДМЕТОМ;0900681811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - ПАРА;0900691811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - ПАРА С ПРЕДМЕТАМИ;0900701811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - ГРУППА;0900711811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - ГРУППА СМЕШАННАЯ;0900721811Я;;;;;;;;;;;;;
;;;СЗ - КАТА - ГРУППА СМЕШАННАЯ С ПРЕДМЕТАМИ;0900731811Я;;;;;;;;;;;;;
18;КЕНДО;1530001411Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ;1530021811Я;;;;;;;;;;;;;
;;;ПОЕДИНОК;1530011811Я;;;;;;;;;;;;;
19;МОТОЦИКЛЕТНЫЙ СПОРТ;0910007511Я;ГОНКИ С ВОДНЫМИ ПРЕПЯТСТВИЯМИ - КВАДРОЦИКЛ;0910531811Л;;;;;;;;;;;;;
;;;ГОНКИ С ВОДНЫМИ ПРЕПЯТСТВИЯМИ - КОЛЬЦЕВЫЕ - КВАДРОЦИКЛ;0910541811Л;;;;;;;;;;;;;
;;;КРОСС - КВАДРОЦИКЛ - КЛАСС 100 МИНИ;0910551811Н;;;;;;;;;;;;;
;;;КРОСС - КВАДРОЦИКЛ - КЛАСС 200 МИНИ;0910561811Н;;;;;;;;;;;;;
;;;КРОСС - МОТОЦИКЛ С ГУСЕНИЦЕЙ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910573811М;;;;;;;;;;;;;
;;;КРОСС - СНЕГОХОД - М2 МИНИ;0910593811Ю;;;;;;;;;;;;;
;;;КРОСС - СНЕГОХОД - М3 МИНИ;0910603811Ю;;;;;;;;;;;;;
;;;КРОСС - СНЕГОХОД - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910583811М;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 125 МИНИ;0910611811Н;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 150 МИНИ;0910621811Н;;;;;;;;;;;;;
;;;МОТОКРОСС - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910291811Я;;;;;;;;;;;;;
;;;МОТОРАЛЛИ - КВАДРОЦИКЛ;0910631811Л;;;;;;;;;;;;;
;;;МОТОРАЛЛИ - КЛАСС 450;0910641811Л;;;;;;;;;;;;;
;;;МОТОРАЛЛИ - КЛАСС ОТКРЫТЫЙ;0910651811Л;;;;;;;;;;;;;
;;;МОТОРАЛЛИ - МОТОВЕЗДЕХОД;0910661811Л;;;;;;;;;;;;;
;;;МОТОРАЛЛИ - СНЕГОХОД;0910673811Л;;;;;;;;;;;;;
;;;ФРИСТАЙЛ НА МОТОЦИКЛЕ;0910681811Л;;;;;;;;;;;;;
;;;ГОНКИ НА ДЛИННОМ ТРЕКЕ - КЛАСС 500;0910091811А;;;;;;;;;;;;;
;;;ГОНКИ НА ТРАВЯНОМ ТРЕКЕ - КЛАСС 500;0910121811А;;;;;;;;;;;;;
;;;КРОСС-КАНТРИ - КЛАСС ОТКРЫТЫЙ;0910331811Л;;;;;;;;;;;;;
;;;МОТОКРОСС С КОЛЯСКОЙ - КЛАСС 750;0910191811М;;;;;;;;;;;;;
;;;МОТОКРОСС - ФРИСТАЙЛ;0910481811М;;;;;;;;;;;;;
;;;СУПЕРКРОСС - КЛАСС 125;0910301811Н;;;;;;;;;;;;;
;;;СУПЕРКРОСС - КЛАСС 250;0910311811М;;;;;;;;;;;;;
;;;СУПЕРМОТО - КЛАСС 250;0910341811М;;;;;;;;;;;;;
;;;СУПЕРМОТО - КЛАСС 450;0910351811М;;;;;;;;;;;;;
;;;ЭНДУРО - КВАДРОЦИКЛЫ;0910371811Г;;;;;;;;;;;;;
;;;КРОСС - МОТОЦИКЛ С ГУСЕНИЦЕЙ;0910513811Л;;;;;;;;;;;;;
;;;КРОСС - СНЕГОХОД;0910203811А;;;;;;;;;;;;;
;;;"ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС ""МИНИМОТО""";0910441811Я;;;;;;;;;;;;;
;;;"ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС ""СУПЕРБАЙК""";0910391811Л;;;;;;;;;;;;;
;;;"ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС ""СУПЕРСПОРТ""";0910401811Л;;;;;;;;;;;;;
;;;"ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС ""СУПЕРСТОК 600""";0910411811Л;;;;;;;;;;;;;
;;;"ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС ""СУПЕРСТОК 1000""";0910421811Л;;;;;;;;;;;;;
;;;ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС 125;0910211811А;;;;;;;;;;;;;
;;;ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС 250;0910221811М;;;;;;;;;;;;;
;;;ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ - КЛАСС 500;0910231811М;;;;;;;;;;;;;
;;;ШОССЕЙНО-КОЛЬЦЕВЫЕ ГОНКИ НА ВЫНОСЛИВОСТЬ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910431811Л;;;;;;;;;;;;;
;;;МОТОБОЛ;0910242811А;;;;;;;;;;;;;
;;;МОТОТРИАЛ;0910251811А;;;;;;;;;;;;;
;;;ТРОФИ-РЕЙД - КВАДРОЦИКЛЫ;0910381811Л;;;;;;;;;;;;;
;;;ФИГУРНОЕ УПРАВЛЕНИЕ МОТОЦИКЛОМ - КЛАСС ОТКРЫТЫЙ;0910521811М;;;;;;;;;;;;;
;;;ЭНДУРО НА МОТОЦИКЛАХ - Е-1;0910101811М;;;;;;;;;;;;;
;;;ЭНДУРО НА МОТОЦИКЛАХ - Е-2;0910111811М;;;;;;;;;;;;;
;;;ЭНДУРО НА МОТОЦИКЛАХ - Е-3;0910491811М;;;;;;;;;;;;;
;;;ЭНДУРО НА МОТОЦИКЛАХ - ЭКСТРИМ;0910501811М;;;;;;;;;;;;;
;;;ЭНДУРО НА МОТОЦИКЛАХ - КЛАСС ОТКРЫТЫЙ;0910261811А;;;;;;;;;;;;;
;;;ЭНДУРО НА СНЕГОХОДАХ;0910273811А;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 500 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910461811А;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 500 - СРЕДИ ПАР;0910471811А;;;;;;;;;;;;;
;;;ГОНКИ НА ЛЬДУ - КЛАСС 125;0910013811А;;;;;;;;;;;;;
;;;ГОНКИ НА ЛЬДУ - КЛАСС 500 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910453811М;;;;;;;;;;;;;
;;;ГОНКИ НА ЛЬДУ - КЛАСС 500;0910033811М;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 80;0910041811Ю;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 125;0910051811Ю;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 250;0910071811Ю;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 250 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0910081811Ю;;;;;;;;;;;;;
;;;ГОНКИ НА ГАРЕВОЙ ДОРОЖКЕ - КЛАСС 500;0910061811А;;;;;;;;;;;;;
;;;КРОСС-КАНТРИ - КЛАСС 450;0910321811М;;;;;;;;;;;;;
;;;КРОСС - КВАДРОЦИКЛ;0910361811Л;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 50;0910131811Н;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 65;0910141811Н;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 85;0910151811Н;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС ОТКРЫТЫЙ;0910281811Л;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 125;0910161811Г;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 250;0910171811М;;;;;;;;;;;;;
;;;МОТОКРОСС - КЛАСС 500;0910021811М;;;;;;;;;;;;;
;;;МОТОКРОСС С КОЛЯСКОЙ - КЛАСС 500;0910181811М;;;;;;;;;;;;;
20;ФЕХТОВАНИЕ;0200001611Я;АРТ-ФЕХТОВАНИЕ - ГРУППА - СВОБОДНЫЙ СТИЛЬ;0200141811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ - ГРУППА - ОТ XVI ВЕКА;0200131811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ - ГРУППА - АНТИЧНОСТЬ;0200121811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ - ДУЭТ- СВОБОДНЫЙ СТИЛЬ;0200111811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ -ДУЭТ - ОТ XVI ВЕКА;0200101811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ -ДУЭТ - АНТИЧНОСТЬ;0200091811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ - УПРАЖНЕНИЕ СОЛО;0200071811Л;;;;;;;;;;;;;
;;;АРТ-ФЕХТОВАНИЕ - УПРАЖНЕНИЕ ГРУППА;0200081811Л;;;;;;;;;;;;;
;;;ШПАГА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0200061611Я;;;;;;;;;;;;;
;;;ШПАГА;0200051611Я;;;;;;;;;;;;;
;;;САБЛЯ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0200041611Я;;;;;;;;;;;;;
;;;САБЛЯ;0200031611Я;;;;;;;;;;;;;
;;;РАПИРА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0200021611Я;;;;;;;;;;;;;
;;;РАПИРА;0200011611Я;;;;;;;;;;;;;
21;УНИВЕРСАЛЬНЫЙ БОЙ;1650005411Я;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1650071811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 47 КГ;1650081811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 47+ КГ;1650091811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1650101811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1650111811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1650121811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 52+ КГ;1650131811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1650141811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ;1650151811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1650301811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;1650331811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 37 КГ;1650341811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;1650351811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1650361811Н;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 47 КГ;1650371811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1650381811Б;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1650391811Ю;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1650401811Б;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 52+ КГ;1650411811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1650421811Ю;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1650431811Б;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1650441811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1650451811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 62+ КГ;1650461811Д;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1650471811Ж;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1650481811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1650491811Я;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1650501811Н;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1650511811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;1650521811Ж;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 78+ КГ;1650531811Ж;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1650541811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1650551811Ю;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1650561811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1650571811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;1650581811А;;;;;;;;;;;;;
;;;ЛАЙТ-ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;1650591811А;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;1650621811Д;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 33 КГ;1650631811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;1650641811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 39 КГ;1650651811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1650661811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;1650311811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;1650321811А;;;;;;;;;;;;;
;;;ЗМ ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1650603811Ж;;;;;;;;;;;;;
;;;ЗМ ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1650613811М;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;1650671811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;1650681811Д;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1650691811Ю;;;;;;;;;;;;;
